'u','urms','irms','p','s','q','pf','phi','ufreq','upeak','ipeak','u1','u2','u3','u4','u5','u6','u7','u8','u9','u10','i1','i2','i3','i4','i5','i6','i7','i8','i9','i10','p1','p2','p3','p4','p5','p6','p7','p8','p9','p10','device','state','Device Id','Device Type','Device State'
238.69,238.82,0.34,40.7,80.03,68.9,0.51,59.43,50.02,324.72,1.67,236.3,0.6,1.93,0.98,6.03,0.48,3.01,0.77,0.95,0.91,0.17,0.02,0.15,0.02,0.13,0.02,0.1,0.02,0.07,0.01,38.1,0,-0.22,0.01,-0.44,-0.01,0.2,0.01,-0.07,0,'lenovog580','ncsleep',17,2,3
239.06,239.16,0.34,40.7,80.66,69.64,0.5,59.7,50.02,324.66,1.67,236.39,0.51,1.95,1,6.2,0.5,3.08,0.79,1,0.91,0.17,0.02,0.15,0.02,0.13,0.02,0.1,0.02,0.08,0.01,38.05,0,-0.23,0.01,-0.42,-0.01,0.22,0.01,-0.08,0,'lenovog580','ncsleep',17,2,3
239.05,239.17,0.34,40.69,80.78,69.78,0.5,59.75,50.02,324.97,1.67,236.43,0.55,1.84,1,6.05,0.5,2.98,0.78,0.95,0.86,0.17,0.02,0.15,0.02,0.13,0.02,0.1,0.02,0.08,0.01,38.18,0,-0.21,0.01,-0.43,-0.01,0.22,0.01,-0.07,0,'lenovog580','ncsleep',17,2,3
239.22,239.36,0.34,40.65,81.23,70.33,0.5,59.97,50.02,325.31,1.67,236.61,0.55,1.87,1.01,6.17,0.56,2.92,0.79,1.01,0.94,0.17,0.02,0.15,0.02,0.13,0.02,0.1,0.02,0.08,0.01,38.14,0,-0.22,0.02,-0.41,-0.01,0.21,0.01,-0.08,0,'lenovog580','ncsleep',17,2,3
236.94,236.9,0.34,40.64,81.19,70.29,0.5,59.96,50.02,322.36,1.67,234.3,0.44,1.96,0.98,5.67,0.48,2.88,0.69,0.9,0.88,0.17,0.03,0.15,0.03,0.13,0.03,0.1,0.02,0.08,0.01,38.02,0,-0.25,0.02,-0.4,-0.01,0.19,0.01,-0.07,0,'lenovog580','ncsleep',17,2,3
236.52,237.21,0.43,51.3,102.16,88.35,0.5,59.86,50.02,325.71,1.67,236.93,0.57,2.06,1.01,6.18,0.53,2.85,0.8,1.06,0.92,0.23,0.02,0.21,0.02,0.18,0.02,0.14,0.02,0.11,0.02,53.54,0,-0.35,0.01,-0.4,-0.01,0.35,0.01,-0.11,0.01,'lenovog580','ncwork',17,2,4
237.04,237.55,0.44,51.41,103.36,-89.66,0.5,-60.17,50.02,325.49,1.67,236.67,0.43,2.02,1.06,6.1,0.59,2.88,0.83,1,0.94,0.23,0.02,0.21,0.02,0.17,0.02,0.14,0.02,0.11,0.02,53.51,0,-0.34,0.02,-0.43,-0.01,0.35,0.01,-0.1,0.01,'lenovog580','ncwork',17,2,4
232.97,233.33,0.06,4,14.9,14.36,0.27,74.43,50.03,319.8,0.5,232.53,0.45,1.97,0.96,5.54,0.43,3.06,0.7,1.01,0.79,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,3.69,-0.01,-0.01,0.01,-0.08,0,-0.03,0,0,0.01,'lenovog580','fcsleep',17,2,3
233.27,233.59,0.07,4.49,15.96,15.32,0.28,73.65,50.03,319.83,0.54,232.44,0.49,1.91,0.91,5.57,0.44,3.1,0.71,1.04,0.82,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,3.75,0,-0.01,0.01,-0.09,0,-0.03,0,0,0.01,'lenovog580','fcsleep',17,2,3
235.19,235.9,0.32,37.72,76.18,66.19,0.5,60.32,50.03,324.93,1.64,236.14,0.62,1.96,1.05,5.75,0.54,2.9,0.79,0.92,0.89,0.17,0.02,0.15,0.02,0.13,0.02,0.1,0.02,0.08,0.01,38.07,0,-0.21,0.01,-0.41,-0.01,0.18,0.01,-0.07,0,'lenovog580','ncsleep',17,2,3
233.3,233.91,0.33,38.22,76.14,65.86,0.5,59.87,50.03,321.77,1.65,234.13,0.73,1.89,1.12,5.63,0.51,2.84,0.76,0.9,0.83,0.17,0.02,0.15,0.02,0.13,0.02,0.1,0.02,0.08,0.01,38.28,-0.01,-0.24,0.02,-0.4,-0.01,0.18,0.01,-0.07,0,'lenovog580','ncsleep',17,2,3
235.31,236.12,0.33,38.3,77.51,67.39,0.49,60.39,50.03,324.97,1.67,236.66,0.66,1.95,1.11,6.23,0.58,3.14,0.84,0.98,0.89,0.17,0.02,0.15,0.02,0.13,0.02,0.1,0.02,0.08,0.01,38.18,0,-0.22,0.02,-0.44,-0.01,0.22,0.01,-0.08,0,'lenovog580','ncsleep',17,2,3
239.03,239.13,0.34,40.78,80.65,69.58,0.51,59.62,50.03,324.56,1.67,236.29,0.58,1.9,1.11,6.24,0.56,3.08,0.85,0.98,0.87,0.17,0.02,0.15,0.02,0.13,0.02,0.1,0.02,0.08,0.01,38.21,0,-0.22,0.02,-0.42,-0.01,0.23,0.01,-0.08,0.01,'lenovog580','ncsleep',17,2,3
239.08,239.14,0.34,40.68,81.1,70.16,0.5,59.89,50.03,324.81,1.67,236.3,0.6,1.89,1.12,6.03,0.58,3.07,0.84,0.98,0.93,0.17,0.02,0.15,0.02,0.13,0.02,0.1,0.02,0.08,0.01,38.19,0,-0.21,0.02,-0.4,-0.01,0.22,0.01,-0.08,0,'lenovog580','ncsleep',17,2,3
234.87,235.8,0.4,47.3,94.66,-81.99,0.5,-60.02,50.03,324.41,1.67,236.22,0.56,2.23,1,6.4,0.52,2.91,0.83,0.99,0.83,0.21,0.01,0.19,0.01,0.16,0.02,0.12,0.03,0.09,0.03,49.04,0,-0.32,0.01,-0.44,0,0.3,0,-0.09,0.02,'lenovog580','ncwork',17,2,4
235.82,236.57,0.41,49.33,97.6,84.22,0.51,59.64,50.03,325.49,1.67,236.82,0.56,2.14,0.97,6.03,0.49,2.8,0.83,1.02,0.91,0.23,0.01,0.21,0.02,0.18,0.02,0.14,0.02,0.1,0.02,53.74,0,-0.38,0.01,-0.44,-0.01,0.34,0.01,-0.1,0.01,'lenovog580','ncwork',17,2,4
235.47,236.29,0.43,51.59,101.62,87.55,0.51,59.49,50.03,325.21,1.67,236.72,0.57,1.97,1.03,6.2,0.52,2.9,0.76,1.01,0.92,0.2,0.04,0.19,0.04,0.15,0.03,0.12,0.02,0.09,0.01,47.13,-0.01,-0.29,0.01,-0.43,-0.02,0.27,0.01,-0.09,0,'lenovog580','ncwork',17,2,4
239.36,239.39,0.45,55.08,106.63,91.3,0.52,58.9,50.03,325.18,1.67,236.58,0.47,2.01,0.97,6.07,0.56,2.99,0.77,0.97,0.92,0.21,0.03,0.19,0.03,0.16,0.03,0.12,0.02,0.1,0,48.3,0,-0.31,0,-0.45,-0.02,0.31,0.01,-0.09,0,'lenovog580','ncwork',17,2,4
236.61,237.21,0.36,42.4,85.93,74.74,0.49,60.44,50.04,324.72,1.67,236.24,0.54,2.2,1.11,6.23,0.57,2.85,0.81,0.93,0.92,0.22,0.03,0.19,0.03,0.16,0.03,0.12,0.02,0.09,0.01,49.38,-0.01,-0.31,0.01,-0.46,-0.02,0.28,0.01,-0.08,0,'lenovog580','ncwork',17,2,4
238.9,238.99,0.42,51.84,100.88,86.54,0.51,59.08,50.05,324.35,1.67,236.12,0.47,2.26,1.06,6.2,0.5,2.88,0.81,0.97,0.9,0.23,0.01,0.2,0.02,0.17,0.03,0.13,0.03,0.1,0.03,52.09,0,-0.36,0.02,-0.45,-0.01,0.31,0.01,-0.09,0.01,'lenovog580','ncwork',17,2,4
231.39,231.91,0.21,21.97,49.54,-44.4,0.44,-63.67,49.79,317.79,1.1,231.71,0.54,1.44,0.98,6,0.64,2.73,0.79,0.95,0.75,0.09,0.03,0.08,0.03,0.07,0.03,0.06,0.03,0.05,0.02,18.41,-0.01,-0.07,0.02,-0.33,-0.02,-0.08,0.01,0,0,'lenovoe430','fctrans',18,2,4
231.76,232.28,0.17,15.37,38.7,-35.52,0.4,-66.61,49.8,318.66,0.95,231.94,0.52,1.39,1.03,5.86,0.61,2.72,0.78,1.02,0.76,0.07,0.03,0.06,0.03,0.05,0.03,0.05,0.03,0.04,0.03,14.3,-0.01,-0.05,0.03,-0.27,-0.01,-0.07,0.01,0,0,'lenovoe430','fctrans',18,2,4
235.85,235.32,0.35,39.9,81.65,-71.24,0.49,-60.75,49.8,318.44,1.7,231.55,0.46,1.46,1.06,5.75,0.68,2.66,0.82,1.04,0.79,0.18,0.03,0.16,0.03,0.13,0.03,0.11,0.02,0.09,0.02,38.94,-0.01,-0.18,0.03,-0.33,-0.02,0.08,0.01,-0.08,0,'lenovoe430','fcwork',18,2,4
235.65,235.11,0.2,21.93,47.28,-41.89,0.46,-62.37,49.81,318.13,0.98,231.32,0.53,1.49,0.94,5.44,0.55,2.55,0.75,0.9,0.68,0.12,0.02,0.11,0.02,0.09,0.02,0.07,0.02,0.06,0.02,25.7,0,-0.11,0.02,-0.36,-0.01,-0.09,0.01,-0.02,0,'lenovoe430','fctrans',18,2,4
231.5,231.97,0.27,29.24,61.61,-54.23,0.47,-61.67,49.81,318.07,1.7,231.44,0.51,1.37,1.01,5.75,0.63,2.74,0.84,0.91,0.77,0.13,0.04,0.12,0.04,0.1,0.03,0.08,0.03,0.06,0.02,28.39,-0.01,-0.12,0.03,-0.32,-0.02,0.01,0.02,-0.04,0,'lenovoe430','fcwork',18,2,4
235.7,235.3,0.27,29.77,63.22,-55.77,0.47,-61.9,49.81,317.85,1.56,231.61,0.56,1.6,1.03,6,0.62,2.66,0.78,1,0.78,0.15,0.05,0.13,0.05,0.11,0.04,0.09,0.04,0.07,0.03,32.13,-0.01,-0.17,0.03,-0.35,-0.03,0,0.03,-0.05,-0.02,'lenovoe430','fctrans',18,2,4
236.29,235.78,0.21,22.52,50.65,-45.37,0.44,-63.6,49.82,318.69,0.99,231.95,0.48,1.53,0.96,5.7,0.58,2.68,0.8,0.88,0.75,0.09,0.03,0.08,0.03,0.07,0.03,0.06,0.02,0.05,0.02,18.45,-0.01,-0.07,0.02,-0.31,-0.01,-0.09,0.01,-0.01,0,'lenovoe430','fctrans',18,2,4
235.46,235.14,0.22,24.55,51.62,-45.41,0.48,-61.6,49.82,318.51,1.03,231.81,0.54,1.47,0.99,5.67,0.58,2.75,0.75,0.96,0.73,0.11,0.03,0.1,0.03,0.08,0.03,0.07,0.02,0.06,0.02,23.91,0,-0.1,0.02,-0.37,-0.01,-0.09,0.01,-0.02,0,'lenovoe430','fctrans',18,2,4
235.26,234.54,0.22,24.05,51.67,-45.73,0.47,-62.26,49.82,318.38,1.22,231.65,0.57,1.54,0.99,5.69,0.55,2.56,0.78,0.97,0.71,0.14,0.03,0.13,0.03,0.11,0.02,0.09,0.02,0.07,0.02,30.82,0,-0.14,0.02,-0.38,-0.01,-0.05,0.01,-0.04,0,'lenovoe430','fctrans',18,2,4
231.6,232.11,0.26,28.17,59.94,-52.9,0.47,-61.96,49.82,318.41,1.22,231.74,0.51,1.53,0.96,5.93,0.61,2.55,0.79,1.08,0.8,0.13,0.04,0.12,0.04,0.1,0.03,0.08,0.03,0.07,0.02,28.69,0,-0.13,0.02,-0.37,-0.02,-0.03,0.02,-0.04,-0.01,'lenovoe430','fctrans',18,2,4
231.59,232.27,0.31,34.38,70.78,-61.87,0.49,-60.94,49.82,317.61,1.56,231.31,0.69,1.39,1.04,5.65,0.61,2.83,0.87,0.85,0.67,0.16,0.02,0.14,0.02,0.12,0.02,0.09,0.02,0.07,0.02,34.4,-0.01,-0.15,0.01,-0.39,-0.01,0.02,0.01,-0.05,0,'lenovoe430','fcwork',18,2,4
235.46,235.13,0.18,18.81,42.16,-37.73,0.45,-63.51,49.83,317.89,0.96,231.82,0.56,1.44,1.02,5.76,0.55,2.72,0.82,0.85,0.72,0.08,0.03,0.07,0.03,0.06,0.03,0.05,0.02,0.04,0.02,16.52,-0.01,-0.06,0.02,-0.3,-0.01,-0.09,0.01,0,0,'lenovoe430','fctrans',18,2,4
229.39,230.32,0.19,18.82,42.5,-38.11,0.44,-63.73,49.83,318.44,1.02,232.09,0.59,1.51,1,5.94,0.63,2.73,0.81,0.91,0.74,0.1,0.03,0.09,0.03,0.08,0.03,0.06,0.03,0.05,0.03,21.76,-0.01,-0.09,0.02,-0.35,-0.02,-0.07,0.02,-0.01,-0.01,'lenovoe430','fctrans',18,2,4
232.18,232.57,0.19,18.21,43.04,-39,0.42,-64.98,49.83,318.51,1,231.98,0.46,1.54,0.94,5.83,0.59,2.66,0.81,0.95,0.75,0.09,0.03,0.08,0.03,0.07,0.03,0.06,0.02,0.05,0.02,18.98,-0.01,-0.08,0.02,-0.32,-0.01,-0.08,0.01,-0.01,0,'lenovoe430','fctrans',18,2,4
232.04,232.49,0.19,18.98,43.71,-39.37,0.43,-64.26,49.83,318.54,0.96,231.99,0.5,1.47,0.98,5.94,0.6,2.6,0.84,0.96,0.78,0.09,0.03,0.08,0.03,0.07,0.03,0.06,0.02,0.05,0.02,19.22,-0.01,-0.08,0.02,-0.32,-0.01,-0.07,0.01,-0.01,0,'lenovoe430','fctrans',18,2,4
236.32,235.88,0.19,19.08,44.43,-40.12,0.43,-64.56,49.83,318.57,1.04,232.19,0.58,1.54,0.98,5.98,0.6,2.76,0.82,0.98,0.75,0.09,0.03,0.07,0.03,0.07,0.03,0.06,0.02,0.05,0.02,17.93,-0.01,-0.07,0.02,-0.32,-0.01,-0.08,0.01,0,0,'lenovoe430','fctrans',18,2,4
232.26,232.63,0.19,19.13,44.22,-39.87,0.43,-64.36,49.83,318.6,1,231.91,0.44,1.57,0.93,5.75,0.62,2.66,0.82,0.89,0.78,0.09,0.03,0.08,0.03,0.07,0.03,0.06,0.03,0.05,0.02,19.71,0,-0.08,0.02,-0.31,-0.02,-0.08,0.01,-0.01,0,'lenovoe430','fctrans',18,2,4
234.55,234.52,0.2,21.94,47.29,-41.89,0.46,-62.36,49.83,318.26,0.99,231.79,0.45,1.49,0.97,5.94,0.61,2.64,0.81,0.91,0.77,0.1,0.03,0.08,0.03,0.07,0.03,0.06,0.03,0.05,0.02,20.28,0,-0.08,0.02,-0.35,-0.02,-0.08,0.01,-0.01,0,'lenovoe430','fctrans',18,2,4
232.07,232.49,0.3,32.25,68.4,-60.32,0.47,-61.87,49.83,318.69,1.7,231.71,0.65,1.47,0.97,5.73,0.62,2.68,0.82,1.04,0.77,0.15,0.04,0.13,0.04,0.12,0.03,0.1,0.03,0.08,0.02,32.19,-0.01,-0.14,0.03,-0.31,-0.02,0.04,0.02,-0.07,-0.01,'lenovoe430','fcwork',18,2,4
230.52,231.1,0.23,25.01,53.33,-47.1,0.47,-62.03,49.84,317.82,1.23,231.29,0.53,1.36,1.05,5.64,0.58,2.83,0.82,0.88,0.72,0.12,0.02,0.11,0.02,0.09,0.02,0.08,0.02,0.06,0.02,25.9,-0.01,-0.11,0.02,-0.35,-0.01,-0.01,0.01,-0.03,0,'lenovoe430','fcwork',18,2,4
231.92,232.31,0.25,26.66,56.78,-50.13,0.47,-62,49.84,318.13,1.3,231.51,0.68,1.35,0.97,5.62,0.59,2.8,0.84,0.91,0.74,0.13,0.02,0.11,0.02,0.1,0.02,0.08,0.02,0.06,0.02,27.66,0,-0.11,0.02,-0.33,-0.01,0,0.01,-0.04,0,'lenovoe430','fcwork',18,2,4
235.33,235.18,0.27,29.2,62.41,-55.16,0.47,-62.1,49.84,319.19,1.43,232.07,0.57,1.53,1,5.65,0.67,2.78,0.85,1.07,0.75,0.16,0.02,0.14,0.02,0.12,0.02,0.1,0.02,0.08,0.02,33.21,-0.01,-0.16,0.02,-0.28,-0.01,0.06,0.01,-0.07,0.01,'lenovoe430','fcwork',18,2,4
235.38,234.75,0.21,22.04,48.58,-43.29,0.45,-63.02,49.85,319,1.08,232.04,0.57,1.48,1,5.69,0.65,2.75,0.82,0.97,0.78,0.11,0.04,0.1,0.04,0.08,0.04,0.07,0.03,0.05,0.03,23.3,-0.01,-0.1,0.03,-0.29,-0.02,-0.03,0.02,-0.03,-0.01,'lenovoe430','fcwork',18,2,4
232.57,233.23,0.22,23.86,51.48,-45.62,0.46,-62.39,49.85,319.16,1.11,232.14,0.53,1.52,1.03,5.67,0.59,2.76,0.84,0.95,0.75,0.13,0.04,0.11,0.04,0.09,0.03,0.08,0.03,0.06,0.02,26.96,-0.01,-0.12,0.03,-0.33,-0.02,-0.02,0.02,-0.04,-0.01,'lenovoe430','fcwork',18,2,4
232.28,232.75,0.31,35.26,72.51,-63.36,0.49,-60.9,49.85,319.31,1.58,232.29,0.61,1.5,1.03,5.66,0.62,2.7,0.84,0.97,0.74,0.18,0.02,0.16,0.02,0.13,0.02,0.11,0.02,0.08,0.02,38.2,0,-0.18,0.02,-0.35,-0.01,0.06,0.01,-0.07,0,'lenovoe430','fcwork',18,2,4
235.43,235.35,0.22,23.65,51.41,-45.64,0.46,-62.61,49.86,319.47,1.11,232.37,0.47,1.29,1.03,5.69,0.57,2.78,0.8,0.84,0.74,0.1,0.03,0.09,0.03,0.08,0.03,0.06,0.03,0.05,0.02,21.8,-0.01,-0.07,0.02,-0.32,-0.02,-0.05,0.02,-0.02,0,'lenovoe430','fcwork',18,2,4
229.73,230.58,0.32,34.42,73.92,-65.42,0.47,-62.25,49.86,319.47,1.7,232.27,0.61,1.54,1.09,5.59,0.6,2.71,0.81,0.99,0.75,0.18,0.02,0.16,0.02,0.14,0.02,0.11,0.02,0.08,0.02,39.67,0,-0.2,0.02,-0.36,-0.01,0.06,0.01,-0.08,0,'lenovoe430','fcwork',18,2,4
231.55,232.09,0.28,30.77,64.95,-57.2,0.47,-61.72,49.87,319.62,1.41,232.31,0.47,1.4,1.04,5.56,0.59,2.67,0.89,1.06,0.73,0.14,0.02,0.12,0.02,0.11,0.02,0.09,0.01,0.07,0.01,29.73,0,-0.13,0.02,-0.29,-0.01,0.01,0,-0.06,0,'lenovoe430','fcwork',18,2,4
233.08,233.34,0.33,37.5,77.95,-68.34,0.48,-61.24,49.87,319.4,1.7,232.21,0.63,1.45,1.06,5.59,0.6,2.7,0.84,1.02,0.7,0.17,0.01,0.15,0.01,0.13,0.02,0.11,0.01,0.08,0.01,36.99,0,-0.17,0.01,-0.36,-0.01,0.05,0,-0.08,0.01,'lenovoe430','fcwork',18,2,4
236.93,236.68,0.04,0.8,9.83,-9.79,0.08,-85.31,49.88,321.05,0.19,233.14,0.57,1.33,1.08,5.83,0.64,3.02,0.88,1.11,0.9,0.03,0,0,0,0,0,0,0,0,0,0.79,0,0,0,-0.02,0,-0.01,0,0,0,'lenovoe430','fcsleep',18,2,3
236.89,236.69,0.04,0.89,9.65,-9.61,0.09,-84.72,49.89,320.99,0.17,233.27,0.62,1.38,1.06,5.9,0.64,3.03,0.91,1.07,0.92,0.03,0,0,0,0,0,0,0,0,0,0.79,0,0,0,-0.02,0,-0.01,0,0,0,'lenovoe430','fcsleep',18,2,3
236.8,236.64,0.04,0.87,9.89,-9.85,0.09,-84.94,49.89,321.14,0.18,233.27,0.58,1.36,1.05,5.82,0.62,3.06,0.89,1.07,0.9,0.03,0,0,0,0,0,0,0,0,0,0.81,0,0,0,-0.02,0,-0.01,0,0,0,'lenovoe430','fcsleep',18,2,3
236.8,236.64,0.04,0.87,9.89,-9.85,0.09,-84.94,49.89,321.14,0.18,233.27,0.58,1.36,1.05,5.82,0.62,3.06,0.89,1.07,0.9,0.03,0,0,0,0,0,0,0,0,0,0.81,0,0,0,-0.02,0,-0.01,0,0,0,'lenovoe430','fcsleep',18,2,3
233.1,233.4,0.24,26.35,56.6,-50.08,0.47,-62.25,49.89,319.81,1.39,232.43,0.67,1.38,0.99,5.43,0.58,2.77,0.86,0.88,0.74,0.12,0.02,0.11,0.02,0.09,0.02,0.08,0.02,0.06,0.01,25.88,0,-0.1,0.02,-0.32,-0.01,-0.02,0.01,-0.04,0,'lenovoe430','fcwork',18,2,4
235.76,235.47,0.04,0.82,9.55,-9.51,0.09,-85.05,49.9,319.78,0.17,232.2,0.49,1.26,0.99,5.29,0.64,3.07,0.89,1.05,0.84,0.03,0,0,0,0,0,0,0,0,0,0.79,0,0,0,-0.02,0,-0.01,0,0,0,'lenovoe430','fcsleep',18,2,3
236.74,236.58,0.04,0.85,9.61,-9.58,0.09,-84.92,49.9,321.08,0.17,233.24,0.6,1.33,1.08,5.78,0.66,3.04,0.87,1.04,0.89,0.03,0,0,0,0,0,0,0,0,0,0.87,0,0,0,-0.02,0,-0.01,0,0,0,'lenovoe430','fcsleep',18,2,3
236.11,235.91,0.04,0.89,9.69,-9.65,0.09,-84.75,49.9,320.34,0.18,232.71,0.63,1.34,1.02,5.58,0.61,3.04,0.9,1.05,0.89,0.03,0,0,0,0,0,0,0,0,0,0.81,0,0,0,-0.02,0,-0.01,0,0,0,'lenovoe430','fcsleep',18,2,3
235.72,235.55,0.04,0.84,9.55,-9.52,0.09,-84.95,49.91,319.68,0.18,232.2,0.55,1.31,0.99,5.8,0.61,2.87,0.91,1.1,0.88,0.03,0,0,0,0,0,0,0,0,0,0.73,0,0,0,-0.02,0,-0.01,0,0,0,'lenovoe430','fcsleep',18,2,3
235.91,235.77,0.04,0.84,9.56,-9.53,0.09,-84.94,49.91,320.24,0.18,232.44,0.43,1.32,1,5.89,0.67,2.84,0.91,1.16,0.93,0.03,0,0,0,0,0,0,0,0,0,0.83,0,0,0,-0.02,0,-0.01,0,0,0,'lenovoe430','fcsleep',18,2,3
235.68,235.59,0.04,0.86,9.61,-9.57,0.09,-84.88,49.91,320.15,0.18,232.43,0.64,1.29,1.01,5.77,0.63,2.96,0.9,1.1,0.87,0.03,0,0,0,0,0,0,0,0,0,0.76,0,0,0,-0.02,0,-0.01,0,0,0,'lenovoe430','fcsleep',18,2,3
236.04,235.78,0.04,0.84,9.64,-9.6,0.09,-84.99,49.91,320.46,0.18,232.46,0.66,1.36,1.01,5.48,0.66,2.75,0.91,1.06,0.87,0.03,0,0,0,0,0,0,0,0,0,0.81,0,0,0,-0.02,0,-0.01,0,0,0,'lenovoe430','fcsleep',18,2,3
232.67,233.3,0.04,0.8,9.5,-9.47,0.08,-85.17,49.91,321.05,0.17,233.39,0.42,1.35,1.09,5.81,0.69,3.06,0.88,1.06,0.92,0.03,0,0,0,0,0,0,0,0,0,0.79,0,0,0,-0.02,0,-0.01,0,0,0,'lenovoe430','fcsleep',18,2,3
231.82,232.36,0.04,0.88,9.55,-9.51,0.09,-84.69,49.91,320.15,0.18,232.45,0.51,1.4,0.96,5.65,0.64,2.94,0.9,1.16,0.87,0.03,0,0,0,0,0,0,0,0,0,0.94,0,0,0,-0.02,0,-0.01,0,0,0,'lenovoe430','fcsleep',18,2,3
235.5,235.35,0.04,0.89,9.7,-9.66,0.09,-84.72,49.91,319.84,0.18,232.15,0.53,1.24,1,5.7,0.66,2.93,0.87,1.07,0.9,0.03,0,0,0,0,0,0,0,0,0,0.92,0,0,0,-0.02,0,-0.01,0,0,0,'lenovoe430','fcsleep',18,2,3
231.49,232.11,0.04,0.77,9.34,-9.3,0.08,-85.26,49.92,319.9,0.17,232.23,0.51,1.29,0.99,5.86,0.67,2.92,0.87,1.11,0.93,0.03,0,0,0,0,0,0,0,0,0,0.69,0,0,0,-0.02,0,-0.01,0,0,0,'lenovoe430','fcsleep',18,2,3
235.69,235.55,0.04,0.8,9.53,-9.5,0.08,-85.21,49.92,320.37,0.17,232.46,0.41,1.29,1,5.63,0.65,2.74,0.9,1.1,0.89,0.03,0,0,0,0,0,0,0,0,0,0.79,0,0,0,-0.02,0,-0.01,0,0,0,'lenovoe430','fcsleep',18,2,3
231.41,232.04,0.04,0.78,9.38,-9.34,0.08,-85.22,49.92,319.62,0.17,232.11,0.46,1.27,1.02,5.72,0.66,2.91,0.89,1.06,0.9,0.03,0,0,0,0,0,0,0,0,0,0.77,0,0,0,-0.02,0,-0.01,0,0,0,'lenovoe430','fcsleep',18,2,3
236.32,236,0.04,0.84,9.57,-9.53,0.09,-84.97,49.92,320.18,0.17,232.43,0.48,1.32,1.05,5.65,0.64,2.97,0.9,1.13,0.92,0.03,0,0,0,0,0,0,0,0,0,0.76,0,0,0,-0.02,0,-0.01,0,0,0,'lenovoe430','fcsleep',18,2,3
236.14,235.88,0.04,0.89,9.65,-9.61,0.09,-84.71,49.92,320.03,0.18,232.29,0.56,1.27,1.01,5.9,0.67,2.86,0.92,1.16,0.88,0.03,0,0,0,0,0,0,0,0,0,0.84,0,0,0,-0.02,0,-0.01,0,0,0,'lenovoe430','fcsleep',18,2,3
236.1,235.83,0.04,0.88,9.68,-9.64,0.09,-84.78,49.92,320.18,0.18,232.35,0.51,1.3,0.96,5.68,0.65,2.86,0.88,1.11,0.9,0.03,0,0,0,0,0,0,0,0,0,0.9,0,0,0,-0.02,0,-0.01,0,0,0,'lenovoe430','fcsleep',18,2,3
231.93,232.51,0.04,0.85,9.53,-9.49,0.09,-84.86,49.92,320.52,0.18,232.54,0.54,1.36,0.99,5.69,0.65,2.92,0.85,1.11,0.9,0.03,0,0,0,0,0,0,0,0,0,0.93,0,0,0,-0.02,0,-0.01,0,0,0,'lenovoe430','fcsleep',18,2,3
230.56,231.38,0.04,0.62,9.56,-9.54,0.07,-86.26,49.92,320.74,0.17,232.28,0.42,1.31,0.98,5.63,0.65,2.82,0.87,1.27,0.9,0.03,0,0,0,0,0,0,0,0,0,0.79,0,0,0,-0.02,0,-0.01,0,0,0,'lenovoe430','fcsleep',18,2,3
235.83,235.67,0.04,0.84,9.98,-9.95,0.08,-85.19,49.92,320.52,0.19,232.35,0.51,1.3,1.06,5.53,0.64,2.81,0.88,1.18,0.85,0.03,0,0,0,0,0,0,0,0,0,0.83,0,0,0,-0.02,0,-0.01,0,0,0,'lenovoe430','fcsleep',18,2,3
235.95,235.74,0.04,0.82,9.58,-9.54,0.09,-85.08,49.93,320.03,0.18,232.37,0.52,1.33,1.02,5.66,0.63,2.93,0.88,1.06,0.88,0.03,0,0,0,0,0,0,0,0,0,0.84,0,0,0,-0.02,0,-0.01,0,0,0,'lenovoe430','fcsleep',18,2,3
231.71,232.2,0.04,0.82,9.46,-9.43,0.09,-85.04,49.93,319.87,0.17,232.27,0.56,1.24,1.04,5.49,0.58,2.99,0.86,1.05,0.84,0.03,0,0,0,0,0,0,0,0,0,0.79,0,0,0,-0.02,0,-0.01,0,0,0,'lenovoe430','fcsleep',18,2,3
236.15,235.88,0.04,0.91,9.65,-9.61,0.09,-84.59,49.93,319.96,0.17,232.38,0.58,1.27,1,5.58,0.62,2.82,0.89,1.02,0.88,0.03,0,0,0,0,0,0,0,0,0,0.85,0,0,0,-0.02,0,-0.01,0,0,0,'lenovoe430','fcsleep',18,2,3
231.86,232.45,0.04,0.88,9.56,-9.52,0.09,-84.72,49.93,320.43,0.18,232.55,0.52,1.29,0.97,5.67,0.66,2.8,0.86,1.06,0.91,0.03,0,0,0,0,0,0,0,0,0,0.95,0,0,0,-0.02,0,-0.01,0,0,0,'lenovoe430','fcsleep',18,2,3
235.81,235.57,0.04,0.9,9.72,-9.68,0.09,-84.72,49.93,320.06,0.18,232.22,0.41,1.25,1.02,5.6,0.61,2.93,0.85,1.05,0.92,0.03,0,0,0,0,0,0,0,0,0,0.92,0,0,0,-0.02,0,-0.01,0,0,0,'lenovoe430','fcsleep',18,2,3
235.81,235.65,0.04,0.85,10,-9.96,0.09,-85.11,49.93,320.34,0.19,232.17,0.47,1.25,1.02,5.67,0.7,2.79,0.88,1.24,0.9,0.03,0,0,0,0,0,0,0,0,0,0.8,0,0,0,-0.02,0,-0.01,0,0,0,'lenovoe430','fcsleep',18,2,3
